Top queries,Clicks,Impressions,CTR,Position
ideal indiska livs,48,89,53.93%,1.09
ideal indiska livs bandhagen,18,130,13.85%,1.55
india gate sona masoori rice,6,54,11.11%,6.33
indian costus,4,3594,0.11%,2.28
indisk affär stockholm,4,91,4.4%,11.57
qust al hindi,3,314,0.96%,4.06
indian grocery store near me,3,218,1.38%,8.66
indian costus powder,3,139,2.16%,8.83
indisk mataffär stockholm,3,100,3%,7.77
indisk matbutik stockholm,3,93,3.23%,14.04
sai gluten free atta,3,86,3.49%,8.33
indisk affär,3,83,3.61%,6.71
tang mango,3,77,3.9%,23.18
sarson ka tel,2,1313,0.15%,5.57
indian incense costus,2,435,0.46%,5.52
indian store near me,2,186,1.08%,8.95
aloo tikki frozen,2,176,1.14%,11.07
indian grocery store stockholm,2,160,1.25%,7.74
indisk butik stockholm,2,120,1.67%,8.59
jannat basmati rice,2,71,2.82%,3.83
mdh butter chicken,2,69,2.9%,1.62
india gate poha,2,51,3.92%,3.31
costus root svenska,2,47,4.26%,2.66
indiska kryddor stockholm,2,42,4.76%,4.55
mdh t plus masala tea recipe,2,39,5.13%,1.38
mer paron,2,39,5.13%,5.03
vatika black seed oil ingredients,2,36,5.56%,5.92
eco by life henna,2,36,5.56%,6.56
manpasand mukhwas,2,33,6.06%,2.64
indisk livsmedelsbutik,2,32,6.25%,9.34
dabur organic ghee,2,31,6.45%,10.97
indisk mataffär,2,30,6.67%,6.13
pakistani grocery store near me,2,30,6.67%,7.07
haldiram garlic naan family pack,2,29,6.9%,3.41
pakistani store near me,2,28,7.14%,7.61
indian shop stockholm,2,28,7.14%,9.68
bandhagen livs,2,27,7.41%,1.89
indisk butik,2,26,7.69%,10
d-va henna,2,25,8%,3.56
ecobylife,2,25,8%,6.2
indian grocery online gothenburg,2,25,8%,7.48
indian groceries,2,12,16.67%,7.83
edible gum,2,12,16.67%,11.83
crown seekh kebab,2,7,28.57%,7.29
red label tea,2,6,33.33%,7
lindi pepper,1,672,0.15%,1.63
mahmood rice,1,552,0.18%,2.18
mdh sabji masala,1,378,0.26%,1.85
indian costus root,1,307,0.33%,5.5
mdh butter chicken masala,1,256,0.39%,12.61
qust al hindi powder,1,243,0.41%,4.99
costus root powder,1,154,0.65%,8.51
what is sarson ka tel,1,139,0.72%,2.67
tang orange powder,1,119,0.84%,10.26
india gate idli rava,1,85,1.18%,8.51
mahmood rice basmati,1,77,1.3%,2.7
dried plums for biryani,1,69,1.45%,2.13
ultimate basmati rice,1,66,1.52%,3.59
neha rachni mehandi,1,64,1.56%,9.38
mdh hyderabadi biryani masala,1,62,1.61%,7.4
haldiram mini samosa how many pieces,1,61,1.64%,1.34
sona masoori rice,1,58,1.72%,9.07
aaaaa rice,1,54,1.85%,1.69
ispaghol,1,51,1.96%,5.92
national haleem mix,1,50,2%,6.66
indian grocery gothenburg,1,49,2.04%,8.69
neha rachni mehandi for hair,1,48,2.08%,2.46
haldiram peanut gajak,1,44,2.27%,7.2
frozen aloo tikki,1,44,2.27%,10.41
pesi goor,1,43,2.33%,1.56
mer dryck,1,43,2.33%,9.88
indian grocery,1,42,2.38%,9
ocean pearl rice,1,38,2.63%,7.84
zingo zero,1,37,2.7%,7.7
haldiram chana jor garam 1kg price,1,36,2.78%,2.25
indian groceries near me,1,36,2.78%,7.69
trs gram flour,1,36,2.78%,11.08
sai atta gluten free,1,35,2.86%,5.97
electric tandoor,1,34,2.94%,12.24
mild curry paste,1,34,2.94%,41.03
haldiram railway cutlet,1,32,3.12%,2.59
indian grocery near me,1,31,3.23%,8.16
hemani black seed oil,1,29,3.45%,10.72
indian grocery online sweden,1,28,3.57%,9.54
chicken masala ingredients mdh,1,27,3.7%,1
costus indien,1,26,3.85%,6.69
rachni mehandi,1,25,4%,1.2
shan lahori fish masala,1,25,4%,9.24
indian stores near me,1,23,4.35%,7.39
mango juice pakistani,1,22,4.55%,7.23
vatika enriched coconut hair oil,1,20,5%,7.6
lgm hing,1,19,5.26%,1.11
haldiram batata vada,1,19,5.26%,6.26
sai multigrain gluten free atta,1,19,5.26%,7.58
pakistani shop near me,1,19,5.26%,8.63
zingo,1,19,5.26%,18.89
chawal ka atta,1,18,5.56%,2.89
qust al hindi powder benefits,1,18,5.56%,2.94
vatika black seed enriched hair oil,1,18,5.56%,8
costus pulver,1,17,5.88%,3.82
frozen laccha paratha,1,17,5.88%,4.59
kalonjee,1,17,5.88%,8.71
mdh butter chicken masala recipe,1,16,6.25%,3.31
pan parag small pack price,1,16,6.25%,8.81
khanum ghee 1kg,1,15,6.67%,16.67
dabur cow ghee,1,14,7.14%,17.79
al baker flour,1,13,7.69%,7.69
groceries,1,13,7.69%,11.46
black henna cone,1,13,7.69%,16.38
pataks curry paste,1,13,7.69%,53
paneer in sweden,1,12,8.33%,3.08
lg hing ingredients,1,12,8.33%,3.25
aromatic chinigura rice,1,11,9.09%,1
haldirams naan,1,10,10%,12.6
kustul hindi powder benefits,1,9,11.11%,1
railway cutlet haldiram,1,9,11.11%,5
indisk restaurang,1,9,11.11%,16.67
indiska stores,1,8,12.5%,5.75
laziza plum chutney,1,8,12.5%,12
urad dal,1,7,14.29%,2.86
costus,1,7,14.29%,6.71
bournvita chocolate flavour,1,7,14.29%,7.71
neha henna cone,1,7,14.29%,8.71
shan mango pickle 1kg,1,6,16.67%,2.67
alwaid,1,6,16.67%,25.5
bombay rava 1 kg price,1,5,20%,2.2
rooh afza original,1,5,20%,4.4
indian grocery stores near me,1,5,20%,8.2
india gate basmati rice premium 5kg,1,5,20%,10.2
wagh bakri cardamom tea bags,1,5,20%,10.8
organic rooh afza,1,4,25%,1
biryani masala,1,4,25%,1.5
india gate sella basmati rice 5kg,1,4,25%,2.75
kryddbutik stockholm,1,4,25%,3.75
indisk kostus,1,4,25%,4.25
kissan jam,1,4,25%,8.5
char magaz,1,4,25%,9
indiskt godis,1,4,25%,20.5
frozen paratha,1,3,33.33%,1
falak rice price,1,3,33.33%,2.33
sella basmati rice india gate,1,3,33.33%,7.67
wagh bakri tea cardamom,1,3,33.33%,8.33
dry coconut,1,2,50%,1
national red chilli sauce,1,2,50%,1
vatika naturals hair oil,1,2,50%,1.5
vanilla essence,1,2,50%,2
cooking oil in sweden,1,2,50%,5
henna cone,1,2,50%,6
kewra water near me,1,2,50%,8.5
nurjahan basmati rice,1,2,50%,9
1121 basmati rice 5 kg,1,2,50%,10.5
haldiram soan papdi,1,2,50%,10.5
dabur ghee 1kg price,1,2,50%,11
dabur vatika enriched coconut hair oil,1,2,50%,11.5
ashirwad chakki atta,1,1,100%,1
bay leaves near me,1,1,100%,1
cadbury bourn vita,1,1,100%,1
frozen chapati,1,1,100%,1
frozen indian food,1,1,100%,1
kashmiri chilli,1,1,100%,1
mini tandoor oven for home,1,1,100%,1
tandoor oven for home,1,1,100%,1
tandoori paste near me,1,1,100%,1
telcum powder,1,1,100%,1
masala chai near me,1,1,100%,2
qust al hindi pulver,1,1,100%,2
biryani masala spices,1,1,100%,4
india. shop near me,1,1,100%,4
asafoetida,1,1,100%,6
american buldak,1,1,100%,7
dosa batter price,1,1,100%,7
rice buy,1,1,100%,9
tang juice powder,1,1,100%,9
pan parag online,1,1,100%,10
hamdard products,1,1,100%,11
saunf sugar coated,1,1,100%,11
sim,1,1,100%,23
mtr gulab jamun mix 1kg price,1,1,100%,52
indian food delivery,0,1656,0%,10.85
ideal,0,380,0%,11.16
mdh pav bhaji masala,0,329,0%,2.65
idhayam nallennai,0,294,0%,2.8
nariyal burada,0,293,0%,1.03
indiska,0,290,0%,2.23
sarso ka tel,0,278,0%,3.46
vatika black seed hair oil,0,205,0%,12.02
kadi patta,0,204,0%,7.44
butter chicken price india 2025,0,184,0%,16.17
metromilan,0,183,0%,8.85
vatika black seed oil,0,182,0%,9.32
mdh biryani masala,0,179,0%,5.42
vatika coconut oil,0,171,0%,58.23
parachute tel,0,170,0%,1.29
shezan mango juice,0,157,0%,43.97
indian costus root where to buy,0,156,0%,8.54
punjabi gur,0,148,0%,1.36
fruiti,0,144,0%,12.85
pakistansk mango,0,143,0%,2.61
pataks korma paste,0,137,0%,62.97
deggi mirch chilli powder,0,136,0%,30.36
guard rice,0,132,0%,18.35
zingo drink,0,128,0%,8.36
priya mango ginger pickle,0,127,0%,5.37
indiska stockholm,0,127,0%,5.43
bombay rava,0,125,0%,4.42
vatika hair oil,0,124,0%,10.4
alibaba livs,0,118,0%,10.7
saragvo,0,117,0%,2.43
malik foods,0,114,0%,7.2
jannat rice,0,113,0%,5.76
lachha paratha frozen,0,112,0%,6.56
rooh afza,0,112,0%,52.1
vatika coconut hair oil,0,106,0%,62.68
zero sugar drinks with no taste compromise,0,105,0%,15.54
nallennai,0,104,0%,4.35
butter chicken masala mdh,0,102,0%,23.65
khanum ghee,0,100,0%,6.51
india gate jeerakasala rice,0,100,0%,8.39
parachute nariyal tel,0,99,0%,3.34
costus indian powder,0,99,0%,7.12
bharat livs,0,95,0%,10.22
indian store stockholm,0,91,0%,7.55
kaalar,0,90,0%,3.6
bournvita,0,88,0%,47.38
nocco limon,0,87,0%,42.23
mdh pav bhaji masala ingredients,0,86,0%,3.01
cocktail samosa haldiram,0,85,0%,6.79
vatika black seed oil benefits,0,84,0%,2.07
patak's korma paste,0,82,0%,13.83
sprite zero healthiest zero calorie soft drink options,0,80,0%,11.15
chinigura rice in india,0,79,0%,2.94
aloo bukhara for biryani,0,79,0%,3.24
chapati flour 25kg,0,79,0%,11.91
idhayam sesame oil,0,79,0%,60.38
indian costus in english,0,78,0%,1
rajma raseela,0,77,0%,3.09
deggi mirch,0,77,0%,30.01
neha mehndi for hair,0,76,0%,1.05
jaggery in punjabi,0,76,0%,5.49
pakistani mango,0,76,0%,7.2
pillsbury atta 10kg,0,76,0%,49.49
haldiram samosa frozen,0,75,0%,10.97
indian store,0,75,0%,14.37
haldiram cocktail samosa,0,74,0%,11.7
indian supermarket gothenburg,0,74,0%,12
what is indian costus,0,73,0%,2.18
costus root in arabic,0,73,0%,5.23
dabur ghee,0,73,0%,19.89
tapal danedar tea bags,0,73,0%,21.15
frozen lachha paratha,0,72,0%,6.74
basmati tukda rice 10kg price,0,72,0%,11.42
neha herbal mehandi,0,71,0%,1.07
taaza paneer,0,71,0%,2.82
soya chunks price pakistan 2026,0,71,0%,11.49
indian costus incense,0,69,0%,4.25
fresh amla,0,69,0%,6.06
powerking energy drink,0,69,0%,8.81
haldiram chana jor garam,0,68,0%,6.57
guard ultimate basmati rice,0,68,0%,7.82
fortune kachi ghani,0,68,0%,21.43
zingo apelsin,0,67,0%,7.49
fortune unpolished chana dal,0,67,0%,38.63
deggi mirch powder,0,67,0%,38.72
gullok,0,66,0%,3.83
bikano soan papdi,0,66,0%,8.06
mtr rasam powder,0,65,0%,9.17
roasted sooji means,0,64,0%,1.16
ultimate rice,0,64,0%,2.44
bournvita drink,0,64,0%,2.84
haldiram rasgulla 1kg price,0,64,0%,30.19
basmasti,0,64,0%,62.28
parle platina hide and seek,0,62,0%,2.47
sarson tel,0,62,0%,3.23
anmol sweets,0,62,0%,11.39
pan parag,0,62,0%,23.4
indian incense (costus),0,61,0%,8.39
shan biryani masala,0,61,0%,9.1
mdh pani puri masala,0,61,0%,42.44
elephant atta 25kg,0,61,0%,45.2
svart henna,0,60,0%,34.27
fine suji,0,59,0%,1
tapal danedar tea,0,59,0%,3.93
qust al hindi benefits,0,59,0%,5.17
chana jor garam haldiram,0,59,0%,5.86
patanjali ghee 500g price,0,59,0%,15.85
fine rava means,0,58,0%,1.19
roasted semolina,0,58,0%,3.53
tindoora,0,58,0%,11.53
bournvita ingredients,0,57,0%,3.49
dried plum for biryani,0,57,0%,3.98
costus indian,0,57,0%,5.37
indian costus hindi name,0,57,0%,7.63
pakistan mango,0,57,0%,8.72
rooh afza flavour,0,56,0%,1.64
vatika black seed hair oil benefits,0,56,0%,2.32
shezan drink,0,56,0%,12
elephant atta wholemeal 25kg,0,56,0%,25.96
danedar chai,0,55,0%,2.38
apelsin drink,0,55,0%,7.95
bharat livs järfälla,0,55,0%,9.36
monster energy mango loco,0,55,0%,39.91
mdh meat masala,0,55,0%,47.75
indiska retur,0,54,0%,4.2
arandi ka tel,0,54,0%,5.35
pav bhaji masala mdh,0,53,0%,1.6
jalebi namak,0,53,0%,4.57
guard basmati rice,0,53,0%,11.23
johnson's baby powder clean classic scent,0,53,0%,20.83
ambar incense sticks,0,53,0%,70.58
trs ingredients,0,53,0%,88.25
paneer in swedish,0,51,0%,1.59
al baker atta,0,51,0%,5.12
elephant atta medium 25kg,0,51,0%,49.84
henna svart,0,51,0%,50.75
henna hårfärg svart,0,50,0%,37.7
mahmoud rice,0,49,0%,1.24
mahmood basmati rice,0,49,0%,4.92
national masala,0,49,0%,7.39
svart henna hårfärg,0,49,0%,38.31
indian costus in hindi,0,48,0%,4.73
skalade,0,48,0%,4.85
jannat gold rice price,0,48,0%,7.69
qust powder,0,47,0%,3.55
indian supermarket,0,47,0%,12.64
haldiram samosa,0,47,0%,23.21
pan parag 100g price in india,0,46,0%,8.37
power king energy drink,0,46,0%,8.93
fortune wheat flour,0,46,0%,9.65
fortune atta 10kg price,0,46,0%,14.85
#tapaldanedar latest,0,46,0%,17.57
slanty,0,46,0%,27.63
haldiram chakoli,0,45,0%,4.27
indisk livsmedelsbutik stockholm,0,45,0%,4.42
indiska livsmedel,0,45,0%,10.13
ktc castor oil,0,45,0%,12.18
indiska matvaror,0,45,0%,14.13
idhayam gingelly oil,0,45,0%,35.42
sabji masala mdh,0,44,0%,3.43
national chana masala,0,44,0%,10.14
what is deggi mirch,0,44,0%,38.5
malik's foods,0,43,0%,8.44
monster mango,0,43,0%,39.35
mdh kitchen king masala,0,43,0%,57.91
dariya dal,0,42,0%,3.38
mtr rasam powder ingredients,0,42,0%,3.98
pan parag ingredients,0,42,0%,4.95
ahmed kheer mix,0,42,0%,5.6
dark stain mehndi cone,0,42,0%,12.07
jethimadh,0,41,0%,3.24
pan parag price,0,41,0%,3.66
loka naturell,0,41,0%,5.66
mtr khaman dhokla 500g,0,41,0%,6.9
rooh afza syrup,0,41,0%,9.46
indian grocery stockholm,0,41,0%,10.63
shan foods meatballs,0,41,0%,14.1
black seed oil vatika,0,41,0%,27.98
chicken curry masala mdh,0,41,0%,78.9
kaju dhoda burfi,0,40,0%,2.35
solrosolja,0,40,0%,2.52
t plus masala,0,40,0%,4.3
shan haleem mix with lentils,0,40,0%,5.05
pakistani tea bags,0,40,0%,6.45
tang mango powder,0,40,0%,11.97
rice guard,0,39,0%,4.92
natural care tea 1kg,0,39,0%,8.26
power livs,0,39,0%,9.26
pillsbury chakki atta 10kg,0,39,0%,15.85
danedar,0,38,0%,2.45
gur in punjabi,0,38,0%,2.76
livs stockholm,0,38,0%,8.21
indian shop near me,0,38,0%,9.16
bharat livs södertälje,0,38,0%,10.55
bournvita chocolate,0,38,0%,15.68
mtr gulab jamun,0,38,0%,18.47
khanum butter ghee,0,38,0%,25.95
heera panna powder,0,37,0%,1
chinigura aromatic rice,0,37,0%,3.16
india gate jeerakasala rice 5kg,0,37,0%,8.27
पैराशूट नारियल तेल 500ml price,0,37,0%,10.05
fortune poha,0,37,0%,26.32
curry leaves,0,37,0%,33.86
coarse rava,0,36,0%,1
malik food,0,36,0%,6.08
haldiram frozen samosa,0,36,0%,9.28
chinigura rice,0,36,0%,10.08
kaalar basmati rice,0,36,0%,10.11
broken basmati rice 10kg,0,36,0%,10.14
jannat gold rice,0,36,0%,10.25
monster mango loco,0,36,0%,43.5
kaju dhoda barfi,0,35,0%,1
mdh butter,0,35,0%,2.11
national sindhi biryani masala,0,35,0%,3.09
dried fenugreek leaves,0,35,0%,3.37
indian costus root powder,0,35,0%,6.37
shan sawaiyan,0,35,0%,6.63
glycemic index of india gate brown basmati rice,0,35,0%,7.74
heera spices,0,35,0%,7.86
indian stores in stockholm,0,35,0%,9.31
national biryani masala,0,35,0%,52.6
haldiram aloo paratha price,0,34,0%,1.06
kadi patta packet,0,34,0%,2.44
loka drink,0,34,0%,3.65
indisk costus,0,34,0%,4.76
vatika oven,0,34,0%,9.97
power king,0,34,0%,21.94
india gate classic,0,34,0%,27.03
india gate classic basmati rice,0,34,0%,52.35
maggi tamarind sauce,0,34,0%,59.26
hyderabadi biryani powder,0,33,0%,2.36
red peanuts 1kg,0,33,0%,3.03
sarson ka oil,0,33,0%,3.45
indian costus in hindi name,0,33,0%,5.73
gingelly oil tamil,0,33,0%,7.79
elephant atta,0,33,0%,11.91
kuttu flour,0,33,0%,14.03
soya chunks price pakistan,0,33,0%,20.48
fortune kachi ghani tel,0,32,0%,1
nallennai oil,0,32,0%,1.94
indian costus in arabic,0,32,0%,3.44
qust,0,32,0%,4.5
heera masala,0,32,0%,5.72
indian qust,0,32,0%,5.81
mughal paratha,0,32,0%,6.66
upma rava 1 kg,0,32,0%,7.12
shahi livs,0,32,0%,7.91
pan parag price 1kg,0,32,0%,9.16
pan parag price in pakistan,0,32,0%,10.06
tilda broken basmati rice,0,32,0%,10.56
almond tail,0,32,0%,12.22
mtr dosa mix,0,32,0%,15.81
mughal plain paratha,0,31,0%,3.35
national nihari masala,0,31,0%,3.52
grated copra,0,31,0%,5.29
neha rachni mehandi henna powder,0,31,0%,5.77
garima basmati rice,0,31,0%,7.52
sai atta,0,31,0%,9.48
indian store gothenburg,0,31,0%,11.39
red henna for skin,0,31,0%,13.13
himalaya basmati rice,0,31,0%,13.97
vatika hair oil black seed,0,31,0%,15.06
classic basmati rice,0,31,0%,30.26
grom flour,0,30,0%,2.9
dry plum for biryani,0,30,0%,4.33
mango juice pakistan,0,30,0%,12.1
costus powder,0,30,0%,13.3
jeerakasala rice,0,30,0%,24.23
shezan juice,0,30,0%,33.37
patak's korma,0,30,0%,50.27
pataks tikka masala paste,0,30,0%,54.1
pataks tikka marinade,0,30,0%,91.77
indiska butiker,0,29,0%,1.07
fine rava,0,29,0%,1.28
curry patta packet,0,29,0%,2.14
gul lok,0,29,0%,3.79
garimaa,0,29,0%,4.17
poha thin,0,29,0%,6.07
pakistan mango juice,0,29,0%,9.34
metro agarbatti,0,29,0%,9.38
chapati flour,0,29,0%,10
idhayam nallennai 1 litre price,0,29,0%,11.1
vatika black seed,0,29,0%,18.76
deggi mirch is for color or spice,0,28,0%,1
indian coctus,0,28,0%,1.25
dabur amla hair oil for dandruff,0,28,0%,1.54
al baker wheat flour,0,28,0%,3.39
haldiram tandoori garlic naan,0,28,0%,3.71
parle platina,0,28,0%,5.5
haldiram mini samosa frozen,0,28,0%,5.57
indian supermarket stockholm,0,28,0%,6.57
pan parag price in india,0,28,0%,7.29
costus root in hindi,0,28,0%,9.71
ktc coconut oil,0,28,0%,38.57
thin poha,0,28,0%,54.68
roasted suji means,0,27,0%,1.59
alsi,0,27,0%,1.96
how to use vatika coconut hair oil,0,27,0%,3.52
haldiram frozen samosa cooking instructions,0,27,0%,5.7
kaalar rice,0,27,0%,8.7
indian supermarket near me,0,27,0%,10.26
vatika coconut hair oil benefits,0,27,0%,10.3
mtr khaman dhokla mix,0,27,0%,10.67
haldiram samosa frozen price,0,27,0%,11.52
1 kg idli rava how many idlis,0,27,0%,11.81
national brand spices,0,27,0%,24.33
maggi 8 pack price,0,27,0%,33.81
khanum pure butter ghee,0,27,0%,58.56
nariyal ka burada,0,26,0%,1
tyj spring roll pastry sizes,0,26,0%,1.96
mdh meat curry masala,0,26,0%,2.08
tapal chai,0,26,0%,2.62
roasted sooji,0,26,0%,2.73
vandevi yellow powder,0,26,0%,3.85
national chicken biryani masala,0,26,0%,3.88
jannat rice price,0,26,0%,5.65
roti maker oven,0,26,0%,5.96
amla fresh,0,26,0%,7.65
